timestamp,temperature,moisture,ec,ph,nitrogen,phosphorus,potassium,salinity,battery
2026-03-23T15:19:41.550408,,,84,6.2,24,3,27,656,
2026-03-23T15:24:54.396953,,,80,6.0,22,2,26,656,
2026-03-23T15:35:21.545615,,,73,5.5,20,2,23,651,
2026-03-23T16:18:55.785522,,,19,1.4,5,1,6,733,
